GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
calculator-amira,default,MainFrame.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
calculator-amira,default,MainFrame,880,0,4,0,192,0,19,0,17,0
calculator-amira,default,MainFrame.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
calculator-amira,default,MainFrame.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
calculator-amira,default,MainFrame.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
calculator-amira,default,MainFrame.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
calculator-amira,default,MainFrame.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
calculator-amira,default,MainFrame.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
calculator-amira,default,MainFrame.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
calculator-amira,default,MainFrame.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
calculator-amira,default,MainFrame.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
calculator-amira,default,MainFrame.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
calculator-amira,default,MainFrame.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
calculator-amira,default,MainFrame.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
calculator-amira,default,MainFrame.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
calculator-amira,SimpleCalc,CalculationBasicOperationInterface,0,31,0,2,0,10,0,6,0,5
calculator-amira,AdvanceClac,CalculationAdavanceOperationInterface,0,28,0,0,0,9,0,7,0,7
calculator-amira,Main,MainClass,296,0,11,0,64,0,12,0,2,0
